"st","zcta"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98146"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98166"
"53","98166"
"53","98166"
"53","98146"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98146"
"53","98166"
"53","98166"
"53","98166"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98108"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98108"
"53","98070"
"53","98070"
"53","98146"
"53","98108"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98108"
"53","98188"
"53","98070"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98108"
"53","98188"
"53","98108"
"53","98188"
"53","98056"
"53","98056"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98188"
"53","98057"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98188"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98188"
"53","98188"
"53","98056"
"53","98057"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98057"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98057"
"53","98056"
"53","98056"
"53","98057"
"53","98056"
"53","98056"
"53","98057"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98055"
"53","98055"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98059"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98059"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98057"
"53","98057"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98059"
"53","98058"
"53","98058"
"53","98059"
"53","98058"
"53","98056"
"53","98058"
"53","98058"
"53","98058"
"53","98059"
"53","98056"
"53","98056"
"53","98058"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98058"
"53","98058"
"53","98059"
"53","98056"
"53","98058"
"53","98056"
"53","98059"
"53","98058"
"53","98058"
"53","98056"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98057"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98056"
"53","98056"
"53","98058"
"53","98058"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98055"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98058"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98055"
"53","98055"
"53","98057"
"53","98055"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98055"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98058"
"53","98058"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98055"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98057"
"53","98057"
"53","98057"
"53","98055"
"53","98057"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98059"
"53","98055"
"53","98059"
"53","98055"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98057"
"53","98059"
"53","98057"
"53","98059"
"53","98057"
"53","98059"
"53","98057"
"53","98059"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98056"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98057"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98092"
"53","98022"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98042"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98058"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98092"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98092"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98058"
"53","98059"
"53","98059"
"53","98059"
"53","98058"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98092"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98022"
"53","98059"
"53","98022"
"53","98059"
"53","98059"
"53","98056"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98038"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98092"
"53","98022"
"53","98092"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98059"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98056"
"53","98146"
"53","98056"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98108"
"53","98146"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98146"
"53","98108"
"53","98042"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98146"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98092"
"53","98092"
"53","98108"
"53","98108"
"53","98022"
"53","98108"
"53","98108"
"53","98092"
"53","98092"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98042"
"53","98070"
"53","98030"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98070"
"53","98070"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98108"
"53","98030"
"53","98108"
"53","98108"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98070"
"53","98030"
"53","98070"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98070"
"53","98198"
"53","98070"
"53","98070"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
